0.2	99.86	55.4	4.91
0.4	99.11	54.95	4.91
0.6	98.61	54.77	4.92
0.8	98.35	54.82	4.92
1.0	98.3	55.05	4.92
1.2	98.41	55.42	4.92
1.4	98.68	55.9	4.93
1.6	99.05	56.45	4.93
1.8	99.52	57.02	4.94
2.0	100.04	57.57	4.94
2.2	100.55	57.97	4.94
2.4	101.01	58.09	4.95
2.6	101.45	58.16	4.95
2.8	101.89	58.22	4.96
3.0	102.31	58.32	4.96
3.2	102.64	58.54	4.96
3.4	102.78	59.02	4.97
3.6	102.95	59.57	4.97
3.8	103.22	60.17	4.97
4.0	103.65	60.8	4.98
4.2	104.46	61.5	4.98
4.4	105.9	62.28	4.98
4.6	107.41	62.98	4.99
4.8	108.86	63.53	4.99
5.0	110.14	63.87	5.0
5.2	110.68	63.53	5.0
5.4	110.78	62.83	5.0
5.6	110.65	62.0	5.01
5.8	110.32	61.11	5.01
6.0	109.85	60.26	5.01
6.2	109.21	59.89	5.02
6.4	108.54	59.62	5.02
6.6	107.92	59.44	5.02
6.8	107.41	59.34	5.02
7.0	107.3	59.33	5.01
7.2	107.64	59.4	5.01
7.4	108.1	59.46	5.0
7.6	108.57	59.48	4.98
7.8	109.0	59.42	4.97
8.0	108.97	58.99	4.96
8.2	108.81	58.45	4.95
8.4	108.53	57.86	4.94
8.6	108.15	57.26	4.92
8.8	107.67	56.7	4.91
9.0	107.0	56.25	4.9
9.2	106.33	55.89	4.88
9.4	105.71	55.63	4.87
9.6	105.2	55.48	4.86
9.8	105.02	55.6	4.86
10.0	105.25	55.99	4.86
10.2	105.59	56.45	4.86
10.4	105.98	56.93	4.87
10.6	106.37	57.36	4.88
10.8	106.47	57.37	4.88
11.0	106.48	57.26	4.88
11.2	106.43	57.11	4.89
11.4	106.34	56.96	4.89
11.6	106.23	56.86	4.89
11.8	105.92	57.04	4.89
12.0	105.66	57.3	4.9
12.2	105.51	57.63	4.9
12.4	105.54	58.01	4.9
12.6	105.99	58.5	4.91
12.8	107.09	59.15	4.91
13.0	108.3	59.72	4.91
13.2	109.51	60.16	4.92
13.4	110.61	60.37	4.92
13.6	111.04	59.78	4.93
13.8	111.15	58.85	4.93
14.0	111.08	57.79	4.93
14.2	110.86	56.68	4.94
14.4	110.52	55.69	4.94
14.6	110.05	55.14	4.94
14.8	109.58	54.74	4.94
15.0	109.17	54.5	4.94
15.2	108.89	54.43	4.94
15.4	109.09	54.68	4.94
15.6	109.66	55.17	4.93
15.8	110.32	55.71	4.93
16.0	110.97	56.2	4.93
16.2	111.52	56.55	4.92
16.4	111.55	56.25	4.92
16.6	111.41	55.79	4.91
16.8	111.13	55.22	4.91
17.0	110.71	54.59	4.9
17.2	110.14	53.96	4.9
17.4	109.25	53.37	4.9
17.6	108.34	52.88	4.89
17.8	107.51	52.53	4.89
18.0	106.83	52.39	4.89
18.2	106.5	52.61	4.89
18.4	106.95	53.64	4.9
18.6	107.6	54.8	4.91
18.8	108.39	55.98	4.92
19.0	109.24	57.06	4.94
19.2	110.0	57.65	4.95
19.4	110.62	57.67	4.96
19.6	111.15	57.5	4.97
19.8	111.58	57.18	4.98
20.0	111.87	56.78	4.99
20.2	111.92	56.38	5.01
20.4	111.84	55.97	5.02
20.6	111.64	55.57	5.03
20.8	111.32	55.24	5.04
21.0	110.74	55.07	5.06
21.2	110.14	54.99	5.07
21.4	109.6	54.98	5.08
21.6	109.19	55.06	5.09
21.8	109.42	55.34	5.11
22.0	109.91	55.69	5.12
22.2	110.48	56.02	5.13
22.4	111.01	56.27	5.14
22.6	111.3	56.26	5.15
22.8	111.08	55.79	5.16
23.0	110.73	55.24	5.17
23.2	110.3	54.7	5.18
23.4	109.83	54.24	5.19
23.6	109.38	54.2	5.19
23.8	108.98	54.4	5.19
24.0	108.7	54.74	5.19
24.2	108.58	55.18	5.19
24.4	108.83	55.71	5.19
24.6	109.57	56.33	5.18
24.8	110.43	56.93	5.17
25.0	111.33	57.48	5.17
25.2	112.18	57.93	5.16
25.4	112.59	57.95	5.16
25.6	112.83	57.82	5.15
25.8	112.91	57.59	5.14
26.0	112.85	57.29	5.14
26.2	112.61	56.98	5.13
26.4	112.09	56.74	5.12
26.6	111.48	56.52	5.12
26.8	110.84	56.32	5.11
27.0	110.21	56.16	5.11
27.2	109.82	56.09	5.1
27.4	109.64	56.11	5.1
27.6	109.49	56.15	5.1
27.8	109.35	56.18	5.1
28.0	109.18	56.17	5.1
28.2	108.76	55.96	5.09
28.4	108.28	55.71	5.09
28.6	107.75	55.45	5.09
28.8	107.17	55.2	5.09
29.0	106.57	54.97	5.09
29.2	105.81	54.86	5.09
29.4	105.09	54.8	5.09
29.6	104.43	54.8	5.08
29.8	103.9	54.87	5.08
30.0	103.62	55.07	5.08
30.2	103.8	55.51	5.07
30.4	104.09	55.94	5.07
30.6	104.44	56.32	5.06
30.8	104.78	56.58	5.05
31.0	104.86	56.31	5.05
31.2	104.81	55.82	5.04
31.4	104.7	55.26	5.03
31.6	104.56	54.71	5.03
31.8	104.37	54.29	5.02
32.0	104.09	54.22	5.01
32.2	103.85	54.28	5.01
32.4	103.71	54.5	5.01
32.6	103.73	54.86	5.01
32.8	104.19	55.55	5.01
33.0	104.94	56.41	5.02
33.2	105.78	57.28	5.03
33.4	106.65	58.07	5.04
33.6	107.4	58.54	5.05
33.8	107.95	58.55	5.05
34.0	108.4	58.41	5.06
34.2	108.74	58.16	5.07
34.4	108.98	57.85	5.08
34.6	109.01	57.59	5.09
34.8	108.93	57.37	5.1
35.0	108.8	57.18	5.1
35.2	108.63	57.05	5.11
35.4	108.44	57.06	5.12
35.6	108.26	57.21	5.13
35.8	108.14	57.46	5.14
36.0	108.13	57.78	5.15
36.2	108.25	58.17	5.15
36.4	108.88	58.74	5.16
36.6	109.65	59.34	5.17
36.8	110.46	59.89	5.18
37.0	111.23	60.35	5.19
37.2	111.76	60.55	5.19
37.4	111.98	60.44	5.2
37.6	112.07	60.18	5.21
