0.2	105.82	60.39	5.57
0.4	105.48	60.0	5.57
0.6	105.34	59.71	5.57
0.8	105.36	59.51	5.57
1.0	105.49	59.36	5.57
1.2	105.7	59.26	5.57
1.4	105.93	59.16	5.57
1.6	106.16	59.05	5.57
1.8	106.33	58.89	5.57
2.0	106.36	58.65	5.56
2.2	106.01	58.16	5.56
2.4	105.56	57.61	5.56
2.6	105.09	57.05	5.56
2.8	104.64	56.51	5.56
3.0	104.45	56.15	5.56
3.2	104.55	55.98	5.56
3.4	104.73	55.88	5.55
3.6	104.97	55.82	5.55
3.8	105.24	55.79	5.55
4.0	105.51	55.77	5.55
4.2	105.62	55.64	5.55
4.4	105.72	55.52	5.55
4.6	105.8	55.41	5.54
4.8	105.88	55.3	5.54
5.0	105.94	55.2	5.54
5.2	105.93	55.05	5.54
5.4	105.95	54.95	5.54
5.6	106.03	54.91	5.54
5.8	106.2	54.96	5.54
6.0	106.62	55.24	5.54
6.2	107.34	55.78	5.54
6.4	108.07	56.33	5.55
6.6	108.77	56.83	5.55
6.8	109.3	57.18	5.55
7.0	109.47	57.17	5.56
7.2	109.48	57.01	5.56
7.4	109.36	56.69	5.57
7.6	109.11	56.22	5.57
7.8	108.68	55.48	5.58
8.0	108.18	54.64	5.58
8.2	107.64	53.75	5.59
8.4	107.1	52.86	5.59
8.6	106.6	52.0	5.6
8.8	106.39	51.47	5.6
9.0	106.32	51.09	5.6
9.2	106.33	50.84	5.61
9.4	106.41	50.7	5.61
9.6	106.54	50.68	5.61
9.8	106.71	50.77	5.62
10.0	106.92	51.04	5.62
10.2	107.16	51.45	5.62
10.4	107.4	51.95	5.63
10.6	107.63	52.51	5.63
10.8	107.82	53.11	5.63
11.0	107.98	53.73	5.63
11.2	107.95	54.32	5.63
11.4	107.89	54.92	5.63
11.6	107.82	55.5	5.63
11.8	107.75	56.07	5.63
12.0	107.73	56.58	5.63
12.2	107.76	57.03	5.63
12.4	107.83	57.47	5.63
12.6	107.94	57.89	5.62
12.8	108.1	58.32	5.62
13.0	108.45	58.86	5.62
13.2	108.88	59.43	5.62
13.4	109.29	59.95	5.62
13.6	109.64	60.39	5.61
13.8	109.87	60.71	5.61
14.0	109.75	60.72	5.61
14.2	109.42	60.54	5.61
14.4	108.99	60.25	5.61
14.6	108.47	59.88	5.61
14.8	107.91	59.46	5.6
15.0	107.31	59.01	5.6
15.2	106.73	58.56	5.6
15.4	106.19	58.14	5.6
15.6	105.72	57.78	5.6
15.8	105.52	57.65	5.59
16.0	105.59	57.74	5.59
16.2	105.76	57.93	5.59
16.4	105.97	58.17	5.59
16.6	106.21	58.44	5.59
16.8	106.42	58.71	5.59
17.0	106.42	58.87	5.58
17.2	106.32	58.97	5.58
17.4	106.19	59.05	5.58
17.6	106.03	59.11	5.58
17.8	105.88	59.14	5.58
18.0	105.78	59.16	5.57
18.2	105.68	59.15	5.56
18.4	105.57	59.11	5.55
18.6	105.44	59.03	5.55
18.8	105.22	58.85	5.54
19.0	104.97	58.62	5.53
