0.2	83.13	60.99	5.17
0.4	82.85	60.92	5.17
0.6	82.48	60.95	5.17
0.8	82.06	61.1	5.17
1.0	81.63	61.38	5.17
1.2	81.23	61.8	5.17
1.4	80.92	62.38	5.17
1.6	80.73	63.14	5.17
1.8	80.71	64.08	5.17
2.0	80.91	65.22	5.17
2.2	81.59	66.88	5.17
2.4	82.59	68.79	5.17
2.6	83.7	70.61	5.17
2.8	84.83	72.21	5.17
3.0	85.78	73.07	5.17
3.2	86.62	73.49	5.17
3.4	87.34	73.53	5.17
3.6	87.9	73.19	5.17
3.8	88.2	72.33	5.17
4.0	88.34	71.25	5.18
4.2	88.36	70.03	5.18
4.4	88.27	68.78	5.18
4.6	88.1	67.92	5.18
4.8	87.85	67.17	5.18
5.0	87.54	66.52	5.18
5.2	87.19	65.96	5.18
5.4	86.8	65.5	5.18
5.6	86.41	65.15	5.18
5.8	86.01	64.89	5.18
6.0	85.62	64.72	5.18
6.2	85.24	64.63	5.18
6.4	84.85	64.52	5.18
6.6	84.48	64.47	5.18
6.8	84.22	64.55	5.19
7.0	84.11	64.83	5.19
7.2	84.31	65.48	5.19
7.4	84.86	66.57	5.19
7.6	85.5	67.74	5.2
7.8	86.15	68.88	5.2
8.0	86.7	69.84	5.2
8.2	87.07	70.55	5.2
8.4	87.28	70.94	5.21
8.6	87.26	70.92	5.21
8.8	86.73	69.9	5.21
9.0	85.9	68.32	5.22
9.2	84.91	66.5	5.22
9.4	83.87	64.62	5.22
9.6	83.06	63.39	5.23
9.8	82.49	62.79	5.23
10.0	82.0	62.41	5.23
10.2	81.57	62.18	5.23
10.4	81.18	62.06	5.24
10.6	80.83	61.99	5.24
10.8	80.39	61.54	5.24
11.0	79.98	61.14	5.24
11.2	79.61	60.82	5.24
11.4	79.3	60.59	5.25
11.6	79.04	60.49	5.25
11.8	78.71	60.57	5.25
12.0	78.5	60.83	5.26
12.2	78.46	61.3	5.26
12.4	78.65	62.01	5.26
12.6	79.23	63.14	5.27
12.8	80.26	64.72	5.27
13.0	81.5	66.39	5.28
13.2	82.88	68.06	5.28
13.4	84.36	69.51	5.29
13.6	85.87	70.66	5.29
13.8	87.37	71.64	5.3
14.0	88.8	72.44	5.3
14.2	90.15	73.25	5.31
14.4	91.32	73.82	5.31
14.6	92.21	74.01	5.32
14.8	92.75	73.67	5.32
15.0	92.4	71.85	5.33
15.2	91.7	69.59	5.34
15.4	90.76	67.12	5.35
15.6	89.68	64.68	5.35
15.8	88.93	63.57	5.36
16.0	88.33	63.19	5.37
16.2	87.76	63.13	5.37
16.4	87.23	63.31	5.37
16.6	86.73	63.64	5.38
16.8	86.24	64.02	5.38
17.0	85.74	63.88	5.39
17.2	85.24	63.57	5.39
17.4	84.77	63.27	5.39
17.6	84.32	63.02	5.4
17.8	83.9	62.84	5.4
18.0	83.47	62.79	5.4
18.2	82.96	62.87	5.39
18.4	82.56	63.13	5.39
18.6	82.32	63.57	5.38
18.8	82.28	64.24	5.38
19.0	82.67	65.31	5.37
19.2	83.4	66.68	5.35
19.4	84.3	68.18	5.34
19.6	85.35	69.77	5.33
19.8	86.48	71.5	5.31
20.0	87.66	73.19	5.3
20.2	88.87	74.62	5.29
20.4	90.07	75.62	5.27
20.6	91.34	75.59	5.26
20.8	92.48	75.05	5.25
21.0	93.4	74.08	5.23
21.2	93.87	72.71	5.22
21.4	93.7	70.98	5.21
21.6	93.24	69.09	5.19
21.8	92.55	67.15	5.18
22.0	91.73	65.39	5.17
22.2	91.0	64.24	5.15
22.4	90.22	63.31	5.14
22.6	89.42	62.58	5.13
22.8	88.6	62.03	5.11
23.0	87.79	61.66	5.1
23.2	87.11	61.48	5.09
23.4	86.56	61.46	5.08
23.6	86.03	61.56	5.06
23.8	85.51	61.73	5.05
24.0	84.98	61.95	5.04
24.2	84.44	62.2	5.02
24.4	83.77	62.35	5.01
24.6	83.02	62.42	5.0
24.8	82.23	62.47	4.98
25.0	81.44	62.5	4.97
25.2	80.65	62.52	4.96
25.4	79.86	62.53	4.94
25.6	79.11	62.44	4.93
25.8	78.39	62.35	4.91
26.0	77.7	62.29	4.9
26.2	77.06	62.26	4.89
26.4	76.48	62.29	4.88
26.6	75.94	62.42	4.87
26.8	75.48	62.65	4.86
27.0	75.11	62.96	4.86
27.2	74.84	63.36	4.85
27.4	74.71	63.86	4.85
27.6	74.86	64.76	4.86
27.8	75.09	65.62	4.86
28.0	75.37	66.35	4.87
28.2	75.66	66.84	4.88
28.4	75.76	66.48	4.89
28.6	75.8	65.68	4.9
28.8	75.82	64.7	4.9
29.0	75.85	63.64	4.91
29.2	75.89	62.68	4.92
29.4	75.94	61.98	4.92
29.6	76.07	61.43	4.93
29.8	76.3	61.06	4.93
30.0	76.66	60.89	4.94
30.2	77.25	61.2	4.95
30.4	78.04	61.83	4.95
30.6	78.99	62.57	4.96
30.8	80.1	63.34	4.97
31.0	81.57	64.18	4.97
31.2	83.36	64.98	4.98
31.4	85.01	65.42	4.98
